timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-03-06,0.5700,0.6100,0.5700,0.5810,0.5810,156876,0.0000,1.0000
2020-03-05,0.6300,0.6399,0.5701,0.6100,0.6100,169132,0.0000,1.0000
2020-03-04,0.5880,0.6174,0.5701,0.6070,0.6070,214892,0.0000,1.0000
2020-03-03,0.6300,0.6400,0.5704,0.5750,0.5750,262644,0.0000,1.0000
2020-03-02,0.6800,0.6800,0.5831,0.6000,0.6000,219357,0.0000,1.0000
2020-02-28,0.5400,0.5779,0.5150,0.5600,0.5600,606310,0.0000,1.0000
2020-02-27,0.5800,0.6029,0.5140,0.5770,0.5770,540051,0.0000,1.0000
2020-02-26,0.6500,0.6550,0.5810,0.6107,0.6107,408283,0.0000,1.0000
2020-02-25,0.6800,0.6800,0.6500,0.6693,0.6693,412152,0.0000,1.0000
2020-02-24,0.6900,0.6999,0.6500,0.6799,0.6799,422530,0.0000,1.0000
2020-02-21,0.7200,0.7398,0.6806,0.6900,0.6900,285352,0.0000,1.0000
2020-02-20,0.7510,0.7600,0.7000,0.7200,0.7200,568372,0.0000,1.0000
2020-02-19,0.7509,0.7761,0.7302,0.7510,0.7510,261254,0.0000,1.0000
2020-02-18,0.8000,0.8130,0.7450,0.7549,0.7549,371455,0.0000,1.0000
2020-02-14,0.7511,0.8000,0.7300,0.7902,0.7902,233880,0.0000,1.0000
2020-02-13,0.7814,0.7830,0.7450,0.7790,0.7790,172805,0.0000,1.0000
2020-02-12,0.8050,0.8200,0.7600,0.7814,0.7814,213693,0.0000,1.0000
2020-02-11,0.7490,0.7850,0.7450,0.7850,0.7850,140642,0.0000,1.0000
2020-02-10,0.7900,0.8120,0.7304,0.7554,0.7554,317478,0.0000,1.0000
2020-02-07,0.8167,0.8200,0.7800,0.7870,0.7870,292854,0.0000,1.0000
2020-02-06,0.7823,0.8400,0.7501,0.8340,0.8340,395894,0.0000,1.0000
2020-02-05,0.7400,0.7800,0.7200,0.7648,0.7648,212052,0.0000,1.0000
2020-02-04,0.7150,0.7390,0.7000,0.7390,0.7390,260120,0.0000,1.0000
2020-02-03,0.7100,0.7500,0.7002,0.7221,0.7221,385542,0.0000,1.0000
2020-01-31,0.7950,0.8200,0.7400,0.7500,0.7500,564718,0.0000,1.0000
2020-01-30,0.8100,0.8300,0.7600,0.7701,0.7701,476803,0.0000,1.0000
2020-01-29,0.8500,0.8850,0.8100,0.8205,0.8205,509177,0.0000,1.0000
2020-01-28,0.7802,0.8480,0.7802,0.8126,0.8126,453601,0.0000,1.0000
2020-01-27,0.7700,0.8300,0.7500,0.8128,0.8128,562291,0.0000,1.0000
2020-01-24,0.8872,0.8900,0.8000,0.8325,0.8325,1539226,0.0000,1.0000
2020-01-23,1.0300,1.2200,0.8010,0.9100,0.9100,15158295,0.0000,1.0000
2020-01-22,0.6574,0.6598,0.6500,0.6569,0.6569,611860,0.0000,1.0000
2020-01-21,0.6700,0.6700,0.6500,0.6546,0.6546,215312,0.0000,1.0000
2020-01-17,0.6624,0.6700,0.6500,0.6600,0.6600,210674,0.0000,1.0000
2020-01-16,0.6534,0.6700,0.6500,0.6610,0.6610,164905,0.0000,1.0000
2020-01-15,0.6551,0.6650,0.6450,0.6550,0.6550,180157,0.0000,1.0000
2020-01-14,0.6690,0.6800,0.6401,0.6550,0.6550,211940,0.0000,1.0000
2020-01-13,0.6600,0.6848,0.6500,0.6690,0.6690,396794,0.0000,1.0000
2020-01-10,0.6382,0.6888,0.6382,0.6453,0.6453,605598,0.0000,1.0000
2020-01-09,0.6200,0.6383,0.6150,0.6382,0.6382,245846,0.0000,1.0000
2020-01-08,0.5749,0.6400,0.5749,0.6201,0.6201,465969,0.0000,1.0000
2020-01-07,0.5900,0.5900,0.5600,0.5875,0.5875,284561,0.0000,1.0000
2020-01-06,0.5650,0.5800,0.5600,0.5800,0.5800,763262,0.0000,1.0000
2020-01-03,0.5600,0.5781,0.5203,0.5650,0.5650,889737,0.0000,1.0000
2020-01-02,0.5880,0.6000,0.5551,0.5700,0.5700,834792,0.0000,1.0000
2019-12-31,0.5605,0.5800,0.5300,0.5571,0.5571,510231,0.0000,1.0000
2019-12-30,0.5500,0.5760,0.5300,0.5501,0.5501,833652,0.0000,1.0000
2019-12-27,0.5625,0.5850,0.5300,0.5440,0.5440,707176,0.0000,1.0000
2019-12-26,0.6000,0.6180,0.5382,0.5557,0.5557,1083930,0.0000,1.0000
2019-12-24,0.5600,0.6100,0.5400,0.6000,0.6000,995727,0.0000,1.0000
2019-12-23,0.5004,0.5600,0.4850,0.5500,0.5500,1344630,0.0000,1.0000
