timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-03-06,138.4800,143.0000,137.4100,142.2100,142.2100,9677132,0.0000,1.0000
2020-03-05,140.8000,142.6800,139.8400,142.0100,142.0100,11338213,0.0000,1.0000
2020-03-04,137.6800,143.6400,137.1400,143.4800,143.4800,10560253,0.0000,1.0000
2020-03-03,140.0000,140.9900,133.1000,135.5900,135.5900,13659922,0.0000,1.0000
2020-03-02,134.7800,140.1300,134.0138,140.0200,140.0200,11506198,0.0000,1.0000
2020-02-28,135.3600,137.2900,130.8200,134.4800,134.4800,19820042,0.0000,1.0000
2020-02-27,142.5600,144.7700,138.9500,139.1200,139.1200,12564321,0.0000,1.0000
2020-02-26,145.3500,146.2200,143.5900,143.6800,143.6800,10093699,0.0000,1.0000
2020-02-25,145.9900,146.7500,143.8300,144.6500,144.6500,10529048,0.0000,1.0000
2020-02-24,146.5000,149.0000,145.2500,145.9100,145.9100,10588834,0.9500,1.0000
2020-02-21,148.0900,150.2400,147.5400,149.9300,148.9601,7774872,0.0000,1.0000
2020-02-20,148.6100,149.3800,147.4043,148.3700,147.4102,7464688,0.0000,1.0000
2020-02-19,149.2100,149.7600,148.5800,148.9400,147.9765,6115185,0.0000,1.0000
2020-02-18,150.4700,150.7400,149.0600,149.1400,148.1753,7230679,0.0000,1.0000
2020-02-14,150.5600,150.6400,149.1500,150.1300,149.1588,5716330,0.0000,1.0000
2020-02-13,150.1600,151.0450,149.8800,150.0900,149.1191,5480205,0.0000,1.0000
2020-02-12,151.8700,152.1500,150.9200,151.0900,150.1126,5166684,0.0000,1.0000
2020-02-11,152.2900,152.3800,151.5400,151.9900,151.0068,3715329,0.0000,1.0000
2020-02-10,151.6800,151.9100,150.8911,151.8600,150.8777,4835632,0.0000,1.0000
2020-02-07,153.3400,153.4550,151.5500,151.8900,150.9075,5699606,0.0000,1.0000
2020-02-06,154.2500,154.5000,152.7400,153.5300,152.5369,6201072,0.0000,1.0000
2020-02-05,151.7200,154.0200,151.3100,153.9900,152.9939,5979924,0.0000,1.0000
2020-02-04,151.4900,152.7500,151.2000,151.6000,150.6193,6541394,0.0000,1.0000
