timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-03-06,2.4000,2.7000,2.3100,2.5600,2.5600,8958032,0.0000,1.0000
2020-03-05,2.1800,2.4900,2.1200,2.4000,2.4000,9233800,0.0000,1.0000
2020-03-04,2.0300,2.3500,2.0000,2.1000,2.1000,7564152,0.0000,1.0000
2020-03-03,2.0361,2.3000,1.6700,2.1600,2.1600,11263908,0.0000,1.0000
2020-03-02,2.9490,2.9600,2.0000,2.3400,2.3400,13050940,0.0000,1.0000
2020-02-28,3.4700,3.5000,2.4000,2.8700,2.8700,29061993,0.0000,1.0000
2020-02-27,2.5500,3.4000,1.8500,2.4700,2.4700,62526323,0.0000,1.0000
2020-02-26,1.2300,1.9087,1.2100,1.6500,1.6500,33013989,0.0000,1.0000
2020-02-25,1.2700,1.2700,1.1000,1.2100,1.2100,5338245,0.0000,1.0000
2020-02-24,1.1800,1.3000,1.1200,1.2800,1.2800,12346302,0.0000,1.0000
2020-02-21,1.0700,1.1200,1.0300,1.0900,1.0900,3008355,0.0000,1.0000
2020-02-20,1.0400,1.1000,1.0100,1.0900,1.0900,2554053,0.0000,1.0000
2020-02-19,1.0400,1.0800,1.0100,1.0400,1.0400,3119009,0.0000,1.0000
2020-02-18,1.0900,1.1000,1.0500,1.1000,1.1000,2726564,0.0000,1.0000
2020-02-14,1.1400,1.1400,1.0700,1.1000,1.1000,3716201,0.0000,1.0000
2020-02-13,1.1700,1.1700,1.0600,1.0700,1.0700,4464884,0.0000,1.0000
2020-02-12,1.0600,1.0695,1.0200,1.0600,1.0600,3092110,0.0000,1.0000
2020-02-11,1.1600,1.1800,1.0500,1.0800,1.0800,5335596,0.0000,1.0000
2020-02-10,1.1600,1.3100,1.1500,1.1800,1.1800,11890742,0.0000,1.0000
2020-02-07,1.0100,1.2500,1.0100,1.1100,1.1100,13621975,0.0000,1.0000
2020-02-06,1.0400,1.0900,1.0000,1.0300,1.0300,5200821,0.0000,1.0000
2020-02-05,1.1100,1.1800,1.0000,1.0900,1.0900,7987167,0.0000,1.0000
2020-02-04,1.4100,1.4200,0.9718,1.1800,1.1800,28873623,0.0000,1.0000
2020-02-03,1.4200,1.8300,1.3200,1.6000,1.6000,78931891,0.0000,1.0000
2020-01-31,1.0500,1.3900,0.9559,1.2500,1.2500,83709195,0.0000,1.0000
2020-01-30,0.7500,0.7980,0.7000,0.7263,0.7263,4785830,0.0000,1.0000
2020-01-29,0.9199,0.9200,0.6685,0.7209,0.7209,12285476,0.0000,1.0000
2020-01-28,0.9598,1.1300,0.8200,0.8800,0.8800,42789019,0.0000,1.0000
2020-01-27,0.6550,0.6590,0.5600,0.6422,0.6422,9693315,0.0000,1.0000
2020-01-24,0.5200,0.5300,0.4488,0.4940,0.4940,2465262,0.0000,1.0000
2020-01-23,0.5370,0.5570,0.5050,0.5300,0.5300,3364481,0.0000,1.0000
2020-01-22,0.6510,0.7150,0.5300,0.5894,0.5894,20047215,0.0000,1.0000
2020-01-21,0.4000,0.5300,0.4000,0.5300,0.5300,5223791,0.0000,1.0000
